asset_id,tool,profile,criterion,score_0_to_3_or_NA,assessor,evidence,claim_status
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,garment_components,2,author technical assessment; no cultural authority,"tunic panels, collar, sleeves, side openings, and trousers are inspectable","protocol demonstration, not expert validation"
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,2,author technical assessment; no cultural authority,recognizable proxy silhouette; proportions are researcher-authored,"protocol demonstration, not expert validation"
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,1,author technical assessment; no cultural authority,separate component meshes exist but no validated sewing pattern or seam graph,"protocol demonstration, not expert validation"
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,procedural material parameters and renders only; no textile calibration,"protocol demonstration, not expert validation"
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,generic procedural ornament without object-level motif source,"protocol demonstration, not expert validation"
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: documentary fields do not establish object-level region/period agreement,"protocol demonstration, not expert validation"
BL_AODAI_001,Blender 5.1.2,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist assessment of a declared wearing context,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,garment_components,2,author technical assessment; no cultural authority,same inspectable component set as baseline,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,silhouette_and_proportion,2,author technical assessment; no cultural authority,long-panel variation remains recognizable but lacks sourced proportion ranges,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,sewing_pattern_plausibility,1,author technical assessment; no cultural authority,no validated sewing pattern or seam graph,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,material_and_drape,1,author technical assessment; no cultural authority,procedural material only,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,motif_and_texture,1,author technical assessment; no cultural authority,generic procedural ornament without object-level source,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,regional_period_consistency,NA,author technical assessment; no cultural authority,NA: no object-level regional-period source,"protocol demonstration, not expert validation"
BL_AODAI_002,Blender 5.1.2,modern_ao_dai_documentary_test_slot,wearing_context,NA,author technical assessment; no cultural authority,NA: no specialist context assessment,"protocol demonstration, not expert validation"
